x,y,z,q0,q1,q2,q3,q4,q5
4.0,4.0,0.0,5061.339312182985,4960.0272451638475,4960.252781293609,5061.0636632283495,5049.496389852873,5010.725918999708
4.0,4.0,1.0,5104.525821018255,5002.230380429019,5015.902255654629,5072.343201954644,5020.783836886242,4990.652671047427
4.0,4.0,2.0,5086.532186974425,2011.006602510494,4308.855750262329,3367.5961593693437,3506.5472003430127,3115.073440707631
4.0,4.0,3.0,5007.446959301571,327.9341711540665,1269.7943894153598,161.84606916612586,209.20509414265442,2052.420819406873
4.0,4.0,4.0,1848.1118775471182,-4.352001419532514,0.0,26.349933659840016,0.0,494.3441264744445
4.0,4.0,5.0,275.94090254511207,0.0,0.0,0.0,0.0,0.0
4.0,5.0,0.0,5055.398538127272,4961.19210195766,4961.326123143186,5055.317689179741,5053.089735977246,5004.844552745995
4.0,5.0,1.0,5107.849348387839,5025.549059292084,5025.616199515398,5107.769274137568,5027.410451016394,5018.525661518258
4.0,5.0,2.0,5089.170781014848,4386.873423852234,4650.464119013598,4913.262453076609,4311.0056029716625,4893.535584825135
4.0,5.0,3.0,5061.948625316232,294.0556228154969,2096.3388723160283,2463.891750779371,938.0979946327677,2642.3631836702875
4.0,5.0,4.0,331.07280936877356,9.39971307645498,0.0,200.24163868778817,-1.191972955267053,2842.8091894914164
4.0,5.0,5.0,101.553198999828,-8.724691325549756,0.0,0.0,0.0,0.0
4.0,6.0,0.0,5053.817545946149,4959.670901707808,4959.671865427325,5053.817429476353,5060.90819832661,5010.299102238963
4.0,6.0,1.0,5115.45308507868,5032.995911777873,5033.030007565712,5115.451883134877,5035.1278656749255,5023.666219953781
4.0,6.0,2.0,5096.126706617602,2906.4852946705037,3701.295615972724,4766.094648428627,2157.6960452482526,4143.254031077204
4.0,6.0,3.0,881.5257373139294,289.8297618145915,151.34328144072532,4642.530477005272,24.571281593897805,362.0560559478381
4.0,6.0,4.0,231.7556242241198,0.0,-3.342908207794311,0.0,0.0,729.3255811928285
4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,7.0,0.0,4692.8777716645245,4071.26918571358,3671.8683402670513,5062.6918007080585,4860.364046858838,4171.369225428414
4.0,7.0,1.0,2670.104581490478,3644.8055920071793,2951.8819314698057,5126.42284928783,2986.2844763165535,4236.35614025719
4.0,7.0,2.0,508.0092705637901,330.2145469352497,-4.411290471529073,4968.868327845095,265.7834197261965,962.0448513958852
4.0,7.0,3.0,352.38786553524267,0.0,-4.300953810053454,110.75637091160034,0.0,1765.3559777202413
4.0,7.0,4.0,13.154821271416534,-3.6211559352668177,0.0,0.0,0.0,0.0
4.0,7.0,5.0,0.0,-4.034891288496108,0.0,0.0,0.0,0.0
4.0,8.0,0.0,1068.8906355413178,80.35738713747189,0.0,4772.681066686366,771.9334691937285,1563.4515633350475
4.0,8.0,1.0,1320.4717615870916,78.01960833586075,-4.693309903481469,4304.071234563623,-2.318196250830727,1034.7711534131183
4.0,8.0,2.0,6.688390280723208,-4.48423898154351,-4.630122574291973,0.0,0.0,0.0
4.0,8.0,3.0,5.1223790768880715,0.0,0.0,7.781065406259173,0.0,0.0
4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9.0,0.0,0.0,-4.378075226913924,-5.8800527979386725,1179.1108844922119,0.31554496190890186,0.0
4.0,9.0,1.0,49.87609646102002,0.0,0.0,0.0,0.0,0.0
4.0,9.0,2.0,4.95552400336434,0.0,0.0,0.0,0.0,0.0
4.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,10.0,0.0,3.780312961665466,0.0,0.0,0.0,0.0,0.0
4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,4110.420658350568,56.82847890525354,804.2502797802988,231.82918140214207,0.0,305.4440564715718
5.0,0.0,1.0,2309.318506674954,0.0,302.1021937569372,170.28648691313973,-1.4724136371052141,0.0
